word,count,Point
  kapla  ,15172,1
  datalinx  ,15172,1
  colasanti  ,15172,1
  chunn  ,15172,1
  chezp  ,15172,1
  bulg  ,15172,1
  alsworth  ,15172,1
  spicetv  ,15171,1
  phemermine  ,15171,1
  melcombe  ,15171,1
  mcfadzean  ,15171,1
  lipschultz  ,15171,1
  lesia  ,15171,1
  kihikihi  ,15171,1
  hybla  ,15171,1
  geiko  ,15171,1
  dentyne  ,15171,1
  darat  ,15171,1
  brandauer  ,15171,1
  advertisng  ,15171,1
  thouars  ,15170,1
  tario  ,15170,1
  stoeckel  ,15170,1
  saifullah  ,15170,1
  rogner  ,15170,1
  robwill  ,15170,1
  oratories  ,15170,1
  lstring  ,15170,1
  lightseagreen  ,15170,1
  librum  ,15170,1
  gaol  ,15170,1
  condrestart  ,15170,1
  comlink  ,15170,1
  blincoe  ,15170,1
  wilkenson  ,15169,1
  unblinded  ,15169,1
  taraval  ,15169,1
  roszatycki  ,15169,1
  merenda  ,15169,1
  kdis  ,15169,1
  bijdrage  ,15169,1
  arcaro  ,15169,1
  nmsi  ,15168,1
  nelova  ,15168,1
  menber  ,15168,1
  memorisation  ,15168,1
  earleville  ,15168,1
  correctol  ,15168,1
  breezin  ,15168,1
  sexhub  ,15167,1
  nijssen  ,15167,1
  memoy  ,15167,1
  mcpfe  ,15167,1
  hibel  ,15167,1
  hasley  ,15167,1
  eclosion  ,15167,1
  bigbooty  ,15167,1
  berichtet  ,15167,1
  adown  ,15167,1
  ytkownika  ,15166,1
  slbms  ,15166,1
  nuture  ,15166,1
  edgren  ,15166,1
  crcnet  ,15166,1
  claimer  ,15166,1
  carrozza  ,15166,1
  baselining  ,15166,1
  alderfer  ,15166,1
  thedoge  ,15165,1
  radulescu  ,15165,1
  ltls  ,15165,1
  limbless  ,15165,1
  komura  ,15165,1
  gigglebytes  ,15165,1
  gauhati  ,15165,1
  consel  ,15165,1
  caitriona  ,15165,1
  brokenly  ,15165,1
  bougies  ,15165,1
  bmms  ,15165,1
  aanet  ,15165,1
  vys  ,15164,1
  subperiods  ,15164,1
  songfight  ,15164,1
  simundump  ,15164,1
  sacul  ,15164,1
  nscat  ,15164,1
  nanba  ,15164,1
  minetti  ,15164,1
  limra  ,15164,1
  imsp  ,15164,1
  idun  ,15164,1
  hartshill  ,15164,1
  craske  ,15164,1
  corail  ,15164,1
  takasago  ,15163,1
  stagehand  ,15163,1
  sparre  ,15163,1
  pollwizard  ,15163,1
  pigdog  ,15163,1
  norphlet  ,15163,1
  leada  ,15163,1
  kuqi  ,15163,1
  kinzua  ,15163,1
  gawad  ,15163,1
  coffre  ,15163,1
  bergenia  ,15163,1
  afftc  ,15163,1
  umap  ,15162,1
  sawmillers  ,15162,1
  overachievers  ,15162,1
  odiorne  ,15162,1
  koltes  ,15162,1
  kaida  ,15162,1
  goofa  ,15162,1
  eginan  ,15162,1
  cannily  ,15162,1
  brackla  ,15162,1
  boogeymen  ,15162,1
  baysville  ,15162,1
  scegliere  ,15161,1
  photinia  ,15161,1
  nrfa  ,15161,1
  mrmacman  ,15161,1
  kanungo  ,15161,1
  elenore  ,15161,1
  desynchronization  ,15161,1
  desman  ,15161,1
  deler  ,15161,1
  cuzn  ,15161,1
  childsafe  ,15161,1
  butchies  ,15161,1
  wqxr  ,15160,1
  troutt  ,15160,1
  tableaus  ,15160,1
  skott  ,15160,1
  serms  ,15160,1
  mogrify  ,15160,1
  merriwa  ,15160,1
  linebacking  ,15160,1
